images,captions
0,A man operates a machine in a textile factory.
1,A man working with wood using a turn lade machine.
2,A man is spinning pottery with a machine.
3,a person making a huge vase on a machine
4,The lady is getting ready to hit a tennis ball.
5,A female tennis player jumping up to hit the ball.
6,a woman hitting a tennis ball on a tennis court.
7,Female tennis player with raised racket looking up at tennis ball.
8,A woman holding a tennis racquet on a tennis court.
9,A woman wearing a denim outfit near a mountain with a brown horse 
10,A girl has her pony by the harness.
11,A woman is standing with a horse in front of a mountain.
12,A young woman is attending to her horse. 
13,A girl walking a pony on a leash.
14,there is a man playing with a frisbee on the field
15,A man throwing a frisbee on a field.
16,A man on a field tossing a Frisbee.
17,A man standing on top of a lush green field.
18,A man is bending and his arms are out as he throws the frisbee into the air.
19,A man kicks a soccer ball on a soccer field.
20,A man kicking a soccer ball on top of a field.
21,A soccer player is kicking the ball during a game.
22,A man in cowboy boots is sitting on a horse. 
23,A man sitting in a saddle on top of a horse.
24,A young man sits on a horse amid clumps of grass. 
25,"A man in a ball cap, vest, jeans and boots is sitting atop a horse."
26,A man on the horse is looking in the distance
27,A young man riding a skateboard up the side of a ramp.
28,a male in a blue shirt is at a skateboard park
29,A skateboarder is gliding through the hills and valleys of the course.
30,A man on a skateboard performing tricks in a skateboard park.
31,A man riding his skateboard in a skate park.
32,A man reaching out to catch a frisbee.
33,A young man focused on a flying plastic disc.
34,A young man is trying to catch a frisbee.
35,"Arms raised, a man tries to catch a frisbee."
36,A man in a gray and white shirt holds his hands toward a green Frisbee.
37,A man with an umbrella walking cattle on a dirt road.
38,a man leading a cow on a field holding an umbrella.
39,a person with a umbrella and has a few animals
40,A man holding a black umbrella herding cattle.
41,A man is holding an umbrella and walking with animals along a plain.
42,A bed in a bedroom with a kid laying on top of it.
43,a little boy laying on a bed with a cute bedspread covered with boats 
44,A little boy is laying down and relaxing on a bed. 
45,a small child is laying out on a blue bed
46,A young boy lays face-down on a bed.
47,A beautiful woman in a wedding dress cutting cake with her husband.
48,A bride and groom are cutting into a cake.
49,a bride and groom are cutting a red and white cake
50,A newly wedded husband and wife cut the cake
51,A bridge and groom are cutting the cake.
52,A baseball player is getting ready to hit a ball.
53,A batter and pitcher during a baseball game.
54,A baseball player has a white uniform on and a black helmet as he holds a bat.
55,A baseball half way between the pitcher and the batter
56,A man on a field swinging a baseball bat at a ball.
57,A man holding both a watch and a cell phone.
58,A man sitting on public transportation checks two cell phones.
59,A person is sitting down looking at a cell phone.
60,A man holding a cell phone while sitting up against a white wall.
61,On a bus or subway a man sitting down listening to music.
62,A man riding a red motorcycle on a street next to a crowd.
63,a police man in uniform is riding a red motorcycle
64,A man in a law enforcement uniform riding a red motorcycle.
65,Policeman in uniform riding a red motorcycle down street.
66,a police officer on a red motorcycle in the street
67,A young man playing a game of frisbee in a park.
68,A man holding a flying disc in a park. 
69,A man is about to throw a frisbee at the park.
70,A man throwing a frisbee in a park. 
71,A man is preparing to throw a frisbee
72,A person is performing a skateboard trick on a bench.
73,a man is grinding a pole on a skateboard
74,A boy doing a trick on a skateboard at night in a park. 
75,The skate boarder is doing a trick on the bench.
76,a boy riding a skate board on the edge of a bench 
77,A man is eating a plate of food at a restaurant.
78,A man sitting at a table in front of a plate of food.
79,A man with glasses sitting at a restaurant with a fork in his hand. 
80,The man in the brown shirt is eating his breakfast.
81,The man eats his food at the table.
82,A man wearing a helmet next to a bicycle holding something in his hands.
83,A bicyclist standing next to his bike and adjusting something with his hands.
84,A man standing next to a red bike.
85,a man standing next to a red bike looking at an ipod
86,The man is focusing on something in his hand while holding up his bike with his leg. 
87,A woman standing under a bunch of unripe bananas.
88,The person is looking at the fruit in the trees.
89,a woman looking at the banana tree in the garden
90,young woman looking up into a palm tree
91,a woman looking up at a banana tree. 
92,A woman sitting on a bed while holding a book.
93,a person sitting on a bed reading a book
94,A woman sits on a bed and enjoys reading a book.
95,A person reading a book in her bed.
96,A woman is sitting down on the bed reading a book
97,Young man preforming a stunt on a skateboard.
98,The boy is doing a trick on his skateboard.
99,a man riding a skateboard on a half pipe 
100,a boy on a skateboard is skateboarding on the ramp doing a trick 
101,A young man skating alone  on a slope
102,A man touching bread sitting on top of a counter.
103,A person with a knife cuts a food item in pieces.
104,A man is cutting into a large piece of food
105,A person cutting a bread product on a bowl plate.
106,A man holds a knife as he cuts food on the counter.
107,A man standing on a paddle board riding a wave in the ocean.
108,A shirtless man on a surfboard with an oar
109,The surfer is rowing a long paddle to row his board.
110,The man is steering his surf board with a pole.
111,an image of a man on his surfboard riding the ocean waves
112,A woman with an American flag on an elephant
113,A woman in American garb riding an elephant.
114,Two elephants with a woman carrying an American flag sitting on one. 
115,A woman with a flag is riding on an elephant.
116,A young woman who is riding a top of one of two elephants. 
117,A woman is holding a dog to view a cow through a window.
118,A woman and a dog are looking out a window at a cow and flowers.
119,there is a woman holding a small dog out of a car window
120,A cow is on the side of a road as a woman in a car holds up her black dog to the window.
121,A woman and a dog looking at a cow through a window.
122,A woman flying a kite on the beach.
123,A woman standing on top of a beach flying a kite.
124,a person on a beach with a kite near the water 
125,A woman flies her kite on the beach. 
126,A woman is flying a kite on a beach.
127,There is a man surfing on a gentle wave.
128,man riding a blue surfboard in the ocean
129,The man surfs on a blue surfboard through a small wave.
130,a man is riding a surfboard at the beach
131,A man in a wet suit on a surfboard in the water.
132,a little girl sitting in front of a cake plate.
133,A girl smiles down at a train cake.
